name,market,popularity
Creepin' (with The Weeknd & 21 Savage),NE,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NE,91
Stargirl Interlude,NE,87
Die For You (with Ariana Grande) - Remix,NE,83
Save Your Tears,NE,88
Reminder,NE,88
Starboy,NG,93
Die For You,NG,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NG,93
Blinding Lights,NG,91
Creepin' (with The Weeknd & 21 Savage),NG,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NG,91
Stargirl Interlude,NG,87
Die For You (with Ariana Grande) - Remix,NG,83
Save Your Tears,NG,88
Reminder,NG,88
Starboy,NI,93
Die For You,NI,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NI,93
Blinding Lights,NI,91
Creepin' (with The Weeknd & 21 Savage),NI,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NI,91
Stargirl Interlude,NI,87
Die For You (with Ariana Grande) - Remix,NI,83
Save Your Tears,NI,88
Reminder,NI,88
Starboy,NL,93
Die For You,NL,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NL,93
Blinding Lights,NL,91
Creepin' (with The Weeknd & 21 Savage),NL,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NL,91
Stargirl Interlude,NL,87
Die For You (with Ariana Grande) - Remix,NL,83
Save Your Tears,NL,88
Reminder,NL,88
Starboy,NO,93
Die For You,NO,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NO,93
Blinding Lights,NO,91
Creepin' (with The Weeknd & 21 Savage),NO,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NO,91
Stargirl Interlude,NO,87
Die For You (with Ariana Grande) - Remix,NO,83
Save Your Tears,NO,88
Reminder,NO,88
Starboy,NP,93
Die For You,NP,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NP,93
Blinding Lights,NP,91
Creepin' (with The Weeknd & 21 Savage),NP,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NP,91
Stargirl Interlude,NP,87
Die For You (with Ariana Grande) - Remix,NP,83
Save Your Tears,NP,88
Reminder,NP,88
Starboy,NR,93
Die For You,NR,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NR,93
Blinding Lights,NR,91
Creepin' (with The Weeknd & 21 Savage),NR,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NR,91
Stargirl Interlude,NR,87
Die For You (with Ariana Grande) - Remix,NR,83
Save Your Tears,NR,88
Reminder,NR,88
Starboy,NZ,93
Die For You,NZ,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NZ,93
Blinding Lights,NZ,91
Creepin' (with The Weeknd & 21 Savage),NZ,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NZ,91
Stargirl Interlude,NZ,87
Die For You (with Ariana Grande) - Remix,NZ,83
Save Your Tears,NZ,88
Reminder,NZ,88
Starboy,OM,93
Die For You,OM,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",OM,93
Blinding Lights,OM,91
Creepin' (with The Weeknd & 21 Savage),OM,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,OM,91
Stargirl Interlude,OM,87
Die For You (with Ariana Grande) - Remix,OM,83
Save Your Tears,OM,88
Reminder,OM,88
Starboy,PA,93
Die For You,PA,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PA,93
Blinding Lights,PA,91
Creepin' (with The Weeknd & 21 Savage),PA,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PA,91
Stargirl Interlude,PA,87
Die For You (with Ariana Grande) - Remix,PA,83
Save Your Tears,PA,88
Reminder,PA,88
Starboy,PE,93
Die For You,PE,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PE,93
Blinding Lights,PE,91
Creepin' (with The Weeknd & 21 Savage),PE,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PE,91
Stargirl Interlude,PE,87
Die For You (with Ariana Grande) - Remix,PE,83
Save Your Tears,PE,88
Reminder,PE,88
Starboy,PG,93
Die For You,PG,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PG,93
Blinding Lights,PG,91
Creepin' (with The Weeknd & 21 Savage),PG,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PG,91
Stargirl Interlude,PG,87
Die For You (with Ariana Grande) - Remix,PG,83
Save Your Tears,PG,88
Reminder,PG,88
Starboy,PH,93
Die For You,PH,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PH,93
Blinding Lights,PH,91
Creepin' (with The Weeknd & 21 Savage),PH,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PH,91
Stargirl Interlude,PH,87
Die For You (with Ariana Grande) - Remix,PH,83
Save Your Tears,PH,88
Reminder,PH,88
Starboy,PK,93
Die For You,PK,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PK,93
Blinding Lights,PK,91
Creepin' (with The Weeknd & 21 Savage),PK,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PK,91
Stargirl Interlude,PK,87
Die For You (with Ariana Grande) - Remix,PK,83
Save Your Tears,PK,88
Reminder,PK,88
Starboy,PL,93
Die For You,PL,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PL,93
Blinding Lights,PL,91
Creepin' (with The Weeknd & 21 Savage),PL,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PL,91
Stargirl Interlude,PL,87
Die For You (with Ariana Grande) - Remix,PL,83
Save Your Tears,PL,88
Reminder,PL,88
Starboy,PS,93
Die For You,PS,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PS,93
Blinding Lights,PS,91
Creepin' (with The Weeknd & 21 Savage),PS,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PS,91
Stargirl Interlude,PS,87
Die For You (with Ariana Grande) - Remix,PS,83
Save Your Tears,PS,88
Reminder,PS,88
Starboy,PT,93
Die For You,PT,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PT,93
Blinding Lights,PT,91
Creepin' (with The Weeknd & 21 Savage),PT,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PT,91
Stargirl Interlude,PT,87
Die For You (with Ariana Grande) - Remix,PT,83
Save Your Tears,PT,88
Reminder,PT,88
Starboy,PW,93
Die For You,PW,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PW,93
Blinding Lights,PW,91
Creepin' (with The Weeknd & 21 Savage),PW,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PW,91
Stargirl Interlude,PW,87
Die For You (with Ariana Grande) - Remix,PW,83
Save Your Tears,PW,88
Reminder,PW,88
Starboy,PY,93
Die For You,PY,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",PY,93
Blinding Lights,PY,91
Creepin' (with The Weeknd & 21 Savage),PY,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,PY,91
Stargirl Interlude,PY,87
Die For You (with Ariana Grande) - Remix,PY,83
Save Your Tears,PY,88
Reminder,PY,88
Starboy,QA,93
Die For You,QA,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",QA,93
Blinding Lights,QA,91
Creepin' (with The Weeknd & 21 Savage),QA,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,QA,91
Stargirl Interlude,QA,87
Die For You (with Ariana Grande) - Remix,QA,83
Save Your Tears,QA,88
Reminder,QA,88
Starboy,RO,93
Die For You,RO,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",RO,93
Blinding Lights,RO,91
Creepin' (with The Weeknd & 21 Savage),RO,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,RO,91
Stargirl Interlude,RO,87
Die For You (with Ariana Grande) - Remix,RO,83
Save Your Tears,RO,88
Reminder,RO,88
Starboy,RS,93
Die For You,RS,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",RS,93
Blinding Lights,RS,91
Creepin' (with The Weeknd & 21 Savage),RS,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,RS,91
Stargirl Interlude,RS,87
Die For You (with Ariana Grande) - Remix,RS,83
Save Your Tears,RS,88
Reminder,RS,88
Starboy,RW,93
Die For You,RW,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",RW,93
Blinding Lights,RW,91
Creepin' (with The Weeknd & 21 Savage),RW,91
