total_tracks,id,market,popularity
9.0,7zCODUHkfuRxsUjtuzNqbd,BF,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BG,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BG,64.0
24.0,12INlMsFtBjyehNnawBv36,BG,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BG,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BG,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BG,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BG,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BG,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BG,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BG,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BG,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BG,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BG,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BH,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BH,64.0
24.0,12INlMsFtBjyehNnawBv36,BH,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BH,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BH,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BH,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BH,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BH,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BH,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BH,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BH,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BH,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BH,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BI,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BI,64.0
24.0,12INlMsFtBjyehNnawBv36,BI,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BI,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BI,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BI,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BI,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BI,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BI,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BI,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BI,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BI,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BI,79.0
